aggregated_bs_id,type,n_base_stations,lng,lat
255,AGGREGATED,4,9.211697121826177,45.367936336670006
256,AGGREGATED,5,9.21402236953124,45.368163996875
257,UMTS,1,9.217148,45.369339
258,UMTS,1,9.219131,45.3685
259,AGGREGATED,2,9.223091,45.368042
260,UMTS,1,9.224808,45.368729
261,AGGREGATED,3,9.2278289794922,45.368728637695
262,AGGREGATED,2,9.2320935,45.367865
263,UMTS,1,9.233268,45.367516
264,UMTS,1,9.2484283447266,45.36735534668
265,AGGREGATED,4,9.250488122314447,45.3682136555175
266,UMTS,1,9.2511749267578,45.368728637695
267,UMTS,1,9.257217,45.371751
268,UMTS,1,9.26857,45.370407
269,UMTS,1,9.273933,45.368535
270,UMTS,1,9.275551,45.369072
271,LTE,1,9.281746,45.369893
272,UMTS,1,9.283447,45.368729
273,AGGREGATED,3,9.286995164388031,45.36872887923167
274,AGGREGATED,11,9.28851679820668,45.36774718261727
275,UMTS,1,9.289765,45.368179
276,UMTS,1,9.292717,45.366669
277,UMTS,1,9.298873,45.36818
278,UMTS,1,9.307823,45.368042
279,LTE,1,9.309747,45.368217
280,UMTS,1,9.0273284912109,45.371475219727
281,AGGREGATED,2,9.028014245605451,45.37079060986351
282,UMTS,1,9.0287,45.370106
283,LTE,1,9.0328216552734,45.374221801758
284,UMTS,1,9.06189,45.376511
285,UMTS,1,9.1014862060547,45.372848510742
286,AGGREGATED,2,9.1062925395508,45.3702164643555
287,AGGREGATED,4,9.12489407666015,45.36990146435551
288,AGGREGATED,6,9.126131148111966,45.37007964290367
289,UMTS,1,9.12895,45.371476
290,AGGREGATED,6,9.132924,45.370501
291,AGGREGATED,2,9.136046,45.3709455
292,UMTS,1,9.137976,45.370887
293,AGGREGATED,2,9.142305,45.3712425
294,LTE,1,9.144673,45.371209
295,AGGREGATED,2,9.149184,45.3699745
296,UMTS,1,9.1522979736328,45.370101928711
297,UMTS,1,9.154768,45.371029
298,UMTS,1,9.157369,45.369814
299,UMTS,1,9.1605377197266,45.371475219727
300,AGGREGATED,3,9.163037,45.370313
301,UMTS,1,9.164344,45.37045
302,UMTS,1,9.1687774658203,45.371475219727
303,UMTS,1,9.176912,45.370524
304,AGGREGATED,3,9.182205250651066,45.370101952474
305,AGGREGATED,4,9.1849954790039,45.3701547143555
306,AGGREGATED,2,9.187603,45.3706165
307,UMTS,1,9.189491,45.370102
308,UMTS,1,9.1976165771484,45.370101928711
309,AGGREGATED,3,9.197810051432269,45.37011428580734
310,UMTS,1,9.203659,45.370102
311,LTE,1,9.2072296142578,45.372848510742
312,AGGREGATED,2,9.2118775,45.3704455
313,AGGREGATED,3,9.2145538330078,45.370101928711
314,UMTS,1,9.2209625244141,45.370101928711
315,AGGREGATED,3,9.222297666666668,45.370102
316,AGGREGATED,3,9.2263794658203,45.37048330957034
317,AGGREGATED,5,9.22879999589844,45.3701867857422
318,UMTS,1,9.23263,45.371478
319,AGGREGATED,2,9.23517071728515,45.370471464355504
320,UMTS,1,9.235646,45.370841
321,LTE,1,9.242248,45.371669
322,LTE,1,9.2456817626953,45.372848510742
323,UMTS,1,9.2539215087891,45.370101928711
324,UMTS,1,9.2552947998047,45.370101928711
325,UMTS,1,9.265593,45.372851
326,UMTS,1,9.2772674560547,45.370101928711
327,AGGREGATED,2,9.2829399555664,45.3699974643555
328,AGGREGATED,6,9.2857406010742,45.3699124643555
329,LTE,1,9.2882537841797,45.368728637695
330,UMTS,1,9.291687,45.370789
331,UMTS,1,9.30048,45.370545
332,UMTS,1,9.302467,45.37171
333,UMTS,1,9.307881,45.37056
334,AGGREGATED,2,9.309983,45.3700245
335,UMTS,1,9.0163421630859,45.378341674805
336,UMTS,1,9.067566,45.377106
337,UMTS,1,9.073105,45.373307
338,UMTS,1,9.080886,45.377793
339,UMTS,1,9.089586,45.37697
340,UMTS,1,9.106301,45.374007
341,UMTS,1,9.110274,45.374497
342,UMTS,1,9.12529,45.371475
343,AGGREGATED,10,9.12766531796875,45.3723673730469
344,AGGREGATED,3,9.129105675455731,45.372383836914
345,AGGREGATED,2,9.13331294970705,45.372314755371
346,AGGREGATED,3,9.136845257486968,45.37192640657568
347,AGGREGATED,5,9.139103225390638,45.37292780429679
348,UMTS,1,9.14141,45.371181
349,AGGREGATED,4,9.1481781005859,45.37250518798825
350,AGGREGATED,2,9.151391,45.371947500000005
351,LTE,1,9.1550445556641,45.372848510742
352,AGGREGATED,2,9.157161,45.372391
353,AGGREGATED,3,9.162692003580732,45.371761739909005
354,AGGREGATED,11,9.1660569313743,45.37260818314982
355,AGGREGATED,2,9.1687774658203,45.3721618652345
356,UMTS,1,9.170608,45.374222
357,UMTS,1,9.175644,45.37199
358,UMTS,1,9.177948,45.372849
359,AGGREGATED,5,9.181205667968722,45.3718185757816
360,AGGREGATED,2,9.1845215,45.3721125
361,AGGREGATED,5,9.1872253578125,45.3726082042968
362,AGGREGATED,3,9.189440277018234,45.372250073242334
363,UMTS,1,9.190116,45.372426
364,UMTS,1,9.196701,45.372391
365,UMTS,1,9.200993,45.373989
366,UMTS,1,9.205857,45.372849
367,AGGREGATED,2,9.2070008071289,45.373077255371
368,UMTS,1,9.211899,45.372574
369,AGGREGATED,7,9.213760448381702,45.372051003069146
370,AGGREGATED,3,9.216892,45.372808
371,AGGREGATED,4,9.2197768083496,45.372615877685504
372,UMTS,1,9.2223358154297,45.372848510742
373,AGGREGATED,4,9.2262838442383,45.372333505371
374,AGGREGATED,4,9.22904281762695,45.37249687768551
375,AGGREGATED,3,9.231692,45.37188166666667
376,UMTS,1,9.235329,45.371423
377,LTE,1,9.2388153076172,45.374221801758
378,UMTS,1,9.253921,45.371475
379,AGGREGATED,2,9.2565905,45.372499000000005
380,UMTS,1,9.270276,45.374472
381,LTE,1,9.276334,45.374661
382,UMTS,1,9.2813873291016,45.372848510742
383,AGGREGATED,17,9.283196315602028,45.37205860949
384,UMTS,1,9.284824,45.371476
385,UMTS,1,9.288597,45.372505
386,UMTS,1,9.290877,45.373473
387,UMTS,1,9.293405,45.374566
388,UMTS,1,9.299068,45.372677
389,AGGREGATED,3,9.300599,45.37263633333333
390,UMTS,1,9.305077,45.372162
391,AGGREGATED,2,9.311256865722653,45.3718186098635
392,UMTS,1,9.0177154541016,45.378341674805
393,UMTS,1,9.0287017822266,45.376968383789
394,UMTS,1,9.0314483642578,45.375595092773
395,UMTS,1,9.098215,45.375021
396,AGGREGATED,2,9.1001129150391,45.375595092773
396,UMTS,1,9.1001129150391,45.375595092773
397,AGGREGATED,2,9.106503,45.374801
398,UMTS,1,9.123459,45.376968
399,UMTS,1,9.127579,45.374866
400,AGGREGATED,12,9.129600892822268,45.37469771590165
401,AGGREGATED,2,9.1316986083984,45.375595092773
402,AGGREGATED,3,9.1360929876302,45.37422186783866
403,AGGREGATED,10,9.13960418359376,45.37411878105479
404,UMTS,1,9.1413116455078,45.375595092773
405,AGGREGATED,5,9.14512724550782,45.3746273603516
406,AGGREGATED,5,9.14694208574218,45.3740156810548
407,AGGREGATED,2,9.1522979736328,45.375595092773
408,AGGREGATED,4,9.1537666323242,45.374501400879
409,AGGREGATED,2,9.1559025,45.3741655
410,UMTS,1,9.159927,45.375595
411,AGGREGATED,2,9.163863,45.3746145
412,AGGREGATED,6,9.165990275227882,45.37495011604816
413,AGGREGATED,3,9.168391310546866,45.37467953450533
414,UMTS,1,9.173907,45.376807
415,UMTS,1,9.1783905029297,45.374221801758
416,AGGREGATED,4,9.1809653137207,45.374221851318495
417,UMTS,1,9.184472,45.375595
418,AGGREGATED,2,9.1873655,45.374369
419,UMTS,1,9.188101,45.375203
420,UMTS,1,9.19512,45.374035
421,AGGREGATED,2,9.204998,45.374995
422,UMTS,1,9.206641,45.374418
423,AGGREGATED,3,9.2115491624349,45.37418893391933
424,UMTS,1,9.21304,45.375067
425,AGGREGATED,2,9.217911,45.375121
426,AGGREGATED,2,9.2203321166992,45.374825900879
427,LTE,1,9.2237091064453,45.375595092773
428,UMTS,1,9.227063,45.374074
429,AGGREGATED,2,9.2285154897461,45.374564900878994
430,UMTS,1,9.229202,45.374908
431,UMTS,1,9.234695,45.375595
432,UMTS,1,9.24671,45.375595
433,LTE,1,9.255964,45.373247
434,AGGREGATED,3,9.258041254557268,45.37445053450532
435,UMTS,1,9.261679,45.375967
436,AGGREGATED,7,9.279784148297988,45.37452582882257
437,LTE,1,9.282127,45.373799
438,UMTS,1,9.287936,45.373573
439,AGGREGATED,4,9.29212441430665,45.37432320043949
440,UMTS,1,9.299044,45.374353
441,UMTS,1,9.301071,45.37468
442,AGGREGATED,3,9.303961666666666,45.37360666666667
443,UMTS,1,9.3061065673828,45.375595092773
444,AGGREGATED,4,9.309336287353524,45.374361200439495
445,UMTS,1,9.0204620361328,45.378341674805
446,UMTS,1,9.0355682373047,45.378341674805
447,UMTS,1,9.074571,45.378892
448,UMTS,1,9.0973663330078,45.378341674805
449,UMTS,1,9.09874,45.376968
450,LTE,1,9.106705,45.375595
451,UMTS,1,9.126396,45.378787
452,AGGREGATED,4,9.13088425,45.37636425
453,AGGREGATED,8,9.1318927062988,45.37694741284175
454,LTE,1,9.1358184814453,45.376968383789
455,AGGREGATED,2,9.1390741772461,45.3768296918945
456,AGGREGATED,7,9.141956470145086,45.377179823939706
457,AGGREGATED,8,9.145131439819338,45.37681467297363
458,UMTS,1,9.146412,45.376054
459,UMTS,1,9.15065,45.376968
460,AGGREGATED,2,9.1543581323242,45.3773116918945
461,AGGREGATED,3,9.157834379231767,45.376859461263
462,LTE,1,9.160919,45.376817
463,AGGREGATED,2,9.162569,45.376317
464,AGGREGATED,3,9.165995333333331,45.377079
465,AGGREGATED,3,9.1687774658203,45.376968383789
466,UMTS,1,9.171452,45.376824
467,AGGREGATED,4,9.1740366574707,45.37689709594726
468,UMTS,1,9.1783905029297,45.375595092773
469,AGGREGATED,6,9.180843327311182,45.37631597672516
470,AGGREGATED,3,9.184206333333334,45.37611233333333
471,UMTS,1,9.184472,45.37638
472,UMTS,1,9.19075,45.375845
473,AGGREGATED,3,9.192712471028631,45.37739379459634
474,UMTS,1,9.193498,45.377656
475,UMTS,1,9.200638,45.378616
476,UMTS,1,9.204876,45.377557
477,LTE,1,9.209061,45.377426
478,AGGREGATED,6,9.2115316624349,45.37590036425766
479,AGGREGATED,5,9.213082711328118,45.3764230953124
480,UMTS,1,9.216156,45.37738
481,LTE,1,9.22077,45.375618
482,AGGREGATED,3,9.222886368815098,45.37624269759099
483,AGGREGATED,3,9.225983666666666,45.37630899999999
484,AGGREGATED,3,9.228582993164068,45.37637603092433
485,UMTS,1,9.231606,45.376797
486,AGGREGATED,4,9.234886681396477,45.37615559594725
487,LTE,1,9.236892,45.377792
488,LTE,1,9.240913,45.377731
489,UMTS,1,9.249802,45.377655
490,UMTS,1,9.258041,45.374908
491,UMTS,1,9.258728,45.378342
492,UMTS,1,9.264961,45.376493
493,UMTS,1,9.267654,45.378538
494,UMTS,1,9.271275,45.37597
495,UMTS,1,9.274319,45.376462
496,AGGREGATED,13,9.277088486929092,45.37680744365984
497,AGGREGATED,7,9.27943180119976,45.37600482212584
498,AGGREGATED,2,9.28224,45.3759435
499,UMTS,1,9.286978,45.376969
500,LTE,1,9.289828,45.37761
501,UMTS,1,9.291167,45.37763
502,UMTS,1,9.298784,45.377885
503,AGGREGATED,3,9.301345699218734,45.37678525585934
504,AGGREGATED,2,9.303088,45.376584
505,LTE,1,9.309413,45.374753
506,AGGREGATED,2,9.0190887451172,45.378341674805
507,UMTS,1,9.0259552001953,45.37971496582
508,AGGREGATED,2,9.0287017822266,45.3790283203125
509,UMTS,1,9.0287017822266,45.37971496582
510,UMTS,1,9.0341949462891,45.37971496582
511,LTE,1,9.088211,45.380799
512,UMTS,1,9.0959930419922,45.37971496582
513,AGGREGATED,5,9.09718320820312,45.37889105625
514,UMTS,1,9.097824,45.378342
515,UMTS,1,9.1042327880859,45.37971496582
516,UMTS,1,9.1056060791016,45.37971496582
517,UMTS,1,9.114534,45.382623
518,LTE,1,9.124311,45.379336
519,AGGREGATED,2,9.12630072216795,45.37925098291
520,LTE,1,9.131012,45.379028
521,AGGREGATED,12,9.132272061686187,45.378898189290425
522,AGGREGATED,2,9.13616188623045,45.3786848374025
523,UMTS,1,9.13812,45.378539
524,AGGREGATED,9,9.142628992947046,45.37910577398
525,AGGREGATED,3,9.144373333333332,45.37911066666667
526,UMTS,1,9.147191,45.380441
527,UMTS,1,9.153169,45.378303
528,AGGREGATED,4,9.154186138916025,45.37849516870125
529,AGGREGATED,3,9.157085045898434,45.37913332194
530,AGGREGATED,2,9.160039,45.3783865
531,AGGREGATED,3,9.162750201171868,45.37940964388
532,UMTS,1,9.167404,45.379944
533,AGGREGATED,4,9.169797189208976,45.37874466870125
534,AGGREGATED,3,9.173042112955732,45.37876398860666
535,AGGREGATED,6,9.174957363444,45.379180885904994
536,AGGREGATED,2,9.17688010595705,45.37875348291
537,AGGREGATED,8,9.180733131103498,45.37901485791
538,UMTS,1,9.1838836669922,45.37971496582
539,LTE,1,9.186513,45.38101
540,UMTS,1,9.192581,45.380173
541,UMTS,1,9.195385,45.379887
542,AGGREGATED,2,9.201874,45.3791655
543,AGGREGATED,2,9.2054295,45.378960000000006
544,AGGREGATED,4,9.2074146298828,45.37885666015625
545,AGGREGATED,4,9.21068992089845,45.378583410156246
546,AGGREGATED,3,9.214553833007834,45.37925720214833
547,LTE,1,9.2154693603516,45.378341674805
548,UMTS,1,9.219547,45.380188
549,UMTS,1,9.2237091064453,45.37971496582
550,UMTS,1,9.2250823974609,45.37971496582
551,UMTS,1,9.2305755615234,45.378341674805
552,AGGREGATED,2,9.235497,45.37849
553,AGGREGATED,2,9.23695,45.3784645
554,AGGREGATED,2,9.244155,45.3796185
555,UMTS,1,9.246363,45.378342
556,UMTS,1,9.2580413818359,45.37971496582
557,UMTS,1,9.261199,45.378823
558,LTE,1,9.263915,45.379461
559,UMTS,1,9.2717742919922,45.37971496582
560,AGGREGATED,7,9.274438946010028,45.378143717773575
561,UMTS,1,9.2772674560547,45.378341674805
562,LTE,1,9.283791,45.379143
563,AGGREGATED,3,9.2863150673828,45.37849589160167
564,AGGREGATED,4,9.291728505859377,45.3783355874025
565,UMTS,1,9.292792,45.379715
566,AGGREGATED,2,9.299025,45.37846
567,AGGREGATED,4,9.30103925,45.37841825
568,AGGREGATED,4,9.3035660654297,45.378530337402495
569,AGGREGATED,2,9.3061067836914,45.3779983374025
570,UMTS,1,9.3088531494141,45.37971496582
571,UMTS,1,9.0232086181641,45.381088256836
572,UMTS,1,9.0245819091797,45.381088256836
573,UMTS,1,9.028702,45.382462
574,UMTS,1,9.032086,45.381965
575,LTE,1,9.036125,45.381366
576,UMTS,1,9.043122,45.385896
577,UMTS,1,9.080204,45.381092
578,UMTS,1,9.0946197509766,45.382461547852
579,UMTS,1,9.0959930419922,45.381088256836
580,UMTS,1,9.0973663330078,45.37971496582
581,UMTS,1,9.1262054443359,45.37971496582
582,LTE,1,9.128931,45.38012
583,AGGREGATED,12,9.13369724820965,45.381250711751335
584,AGGREGATED,2,9.1355575,45.3813705
585,UMTS,1,9.139373,45.380814
586,AGGREGATED,6,9.142419666666669,45.38066866666666
587,AGGREGATED,2,9.1439285,45.3806175
588,AGGREGATED,2,9.14768455029295,45.380764628418
589,UMTS,1,9.153095,45.381482
590,AGGREGATED,10,9.15442213759766,45.3808292770508
591,AGGREGATED,8,9.157003123046875,45.381242814209
592,AGGREGATED,4,9.15921346435545,45.381014878418
593,AGGREGATED,3,9.1628437672526,45.38100041894533
594,AGGREGATED,5,9.16628151855468,45.3808244513672
595,UMTS,1,9.16832,45.381088
596,UMTS,1,9.1728973388672,45.37971496582
597,UMTS,1,9.174957,45.379715
598,UMTS,1,9.177766,45.381463
599,UMTS,1,9.182053,45.380173
600,UMTS,1,9.183884,45.381088
601,AGGREGATED,2,9.1872585,45.38098050000001
602,UMTS,1,9.190338,45.381775
603,UMTS,1,9.20311,45.379715
604,LTE,1,9.204483,45.379578
605,AGGREGATED,2,9.2078078071289,45.381232628418005
606,AGGREGATED,2,9.2106628417969,45.381088256836
607,AGGREGATED,2,9.2136385,45.3812255
608,UMTS,1,9.214554,45.381088
609,AGGREGATED,8,9.219715440551765,45.3803812821045
610,AGGREGATED,3,9.223860404296866,45.38076583789067
