aggregated_bs_id,type,n_base_stations,lng,lat
124,LTE,1,9.139709,45.373347
125,LTE,1,9.146485,45.37419
126,LTE,1,9.155731,45.374222
127,LTE,1,9.1660308837891,45.372848510742
128,AGGREGATED,3,9.166946411132834,45.372390747070334
129,LTE,1,9.1674041748047,45.372848510742
130,LTE,1,9.2127227783203,45.372848510742
131,LTE,1,9.2237091064453,45.375595092773
132,LTE,1,9.2388153076172,45.374221801758
133,LTE,1,9.282176,45.372845
134,AGGREGATED,6,9.283320421875,45.37220812174484
135,LTE,1,9.284134,45.372849
136,LTE,1,9.2855072021484,45.370101928711
137,LTE,1,9.124311,45.379336
138,LTE,1,9.128679,45.374236
139,AGGREGATED,4,9.1290280065918,45.37425445043949
140,LTE,1,9.130829,45.375708
141,LTE,1,9.1399383544922,45.374221801758
142,AGGREGATED,2,9.145615,45.374549
143,LTE,1,9.1536712646484,45.374221801758
144,AGGREGATED,3,9.1539765097656,45.37452686783866
145,LTE,1,9.157332,45.376053
146,LTE,1,9.163755,45.375007
147,LTE,1,9.1687774658203,45.376968383789
148,LTE,1,9.176743,45.377792
149,LTE,1,9.183675,45.376362
150,LTE,1,9.192516,45.377557
151,LTE,1,9.211349,45.375767
152,LTE,1,9.213558,45.37612
153,LTE,1,9.22077,45.375618
154,LTE,1,9.225879,45.375906
155,LTE,1,9.226303,45.376053
156,LTE,1,9.234088,45.376464
157,LTE,1,9.263915,45.379461
158,LTE,1,9.2662811279297,45.37971496582
159,AGGREGATED,2,9.27985401904295,45.374262900879
160,LTE,1,9.282127,45.373799
161,LTE,1,9.289828,45.37761
162,LTE,1,9.3019866943359,45.376968383789
163,LTE,1,9.309413,45.374753
164,AGGREGATED,2,9.3098195,45.3742715
165,LTE,1,9.06657,45.386192
166,LTE,1,9.129373,45.374782
167,AGGREGATED,2,9.1324748041992,45.3772966918945
168,LTE,1,9.1358184814453,45.376968383789
169,LTE,1,9.13821,45.376691
170,LTE,1,9.141884,45.378113
171,AGGREGATED,2,9.144723,45.376954
172,LTE,1,9.145427,45.377042
173,LTE,1,9.1536712646484,45.376968383789
174,AGGREGATED,2,9.1543581323242,45.3773116918945
175,LTE,1,9.160919,45.376817
176,LTE,1,9.162503,45.37569
177,LTE,1,9.180609,45.377814
178,LTE,1,9.204483,45.379578
179,LTE,1,9.209061,45.377426
180,AGGREGATED,2,9.21314038916015,45.376544191894496
181,LTE,1,9.2154693603516,45.378341674805
182,AGGREGATED,2,9.226091,45.3759795
183,LTE,1,9.236892,45.377792
184,LTE,1,9.240913,45.377731
185,LTE,1,9.244917,45.379675
186,LTE,1,9.267591,45.379859
187,LTE,1,9.274246,45.378067
188,LTE,1,9.2786407470703,45.376968383789
189,AGGREGATED,2,9.2793273925781,45.376281738280994
190,LTE,1,9.281754,45.376144
191,LTE,1,9.283791,45.379143
192,LTE,1,9.036125,45.381366
193,LTE,1,9.0932464599609,45.383834838867
194,LTE,1,9.1152191162109,45.385208129883
195,LTE,1,9.131012,45.379028
196,AGGREGATED,4,9.1324119020996,45.37895841870125
197,LTE,1,9.133026,45.379469
198,AGGREGATED,2,9.1424375,45.3786255
199,LTE,1,9.143775,45.378841
200,LTE,1,9.1481781005859,45.381088256836
201,LTE,1,9.153811,45.379269
202,LTE,1,9.155045,45.377655
203,LTE,1,9.16057,45.378775
204,LTE,1,9.1646575927734,45.381088256836
205,LTE,1,9.186513,45.38101
206,LTE,1,9.210359,45.377983
207,AGGREGATED,2,9.2237091064453,45.381088256836
207,LTE,1,9.2237091064453,45.381088256836
208,LTE,1,9.234582,45.379325
209,AGGREGATED,2,9.23695,45.3784645
210,LTE,1,9.250488,45.381775
211,AGGREGATED,2,9.2566680908203,45.382461547852
211,LTE,1,9.2566680908203,45.382461547852
212,LTE,1,9.274146,45.378375
213,AGGREGATED,3,9.274558666666666,45.37810866666666
214,LTE,1,9.275284,45.377884
215,LTE,1,9.2964935302734,45.381088256836
216,LTE,1,9.299801,45.379334
217,LTE,1,9.302811,45.37944
218,LTE,1,9.3088531494141,45.37971496582
219,LTE,1,9.033387,45.385774
220,LTE,1,9.128931,45.38012
221,LTE,1,9.134443,45.38195
222,LTE,1,9.139192,45.383372
223,LTE,1,9.142991,45.379138
