type,lng,lat,cellId,distance,n_base_stations,aggregated_bs_id
AGGREGATED,9.151049245827418,45.46152644025217,4947,0.0,11,2105
AGGREGATED,9.1545279640625,45.4606230542968,4948,0.0,5,2106
AGGREGATED,9.157772682617178,45.4610779396484,4949,0.0,5,2107
AGGREGATED,9.15950230058593,45.4612988125,4950,0.0,10,2108
AGGREGATED,9.163757065863711,45.46163615852866,4951,0.0,9,2109
AGGREGATED,9.1663493532715,45.460912192871,4952,0.0,8,2110
AGGREGATED,9.169167568498873,45.461083242605994,4953,0.0,7,2111
AGGREGATED,9.172829007368618,45.46133198393109,4954,0.0,11,2112
AGGREGATED,9.174965917751733,45.46145698372399,4955,0.0,9,2113
AGGREGATED,9.1787408343099,45.46106737858067,4956,0.0,3,2114
AGGREGATED,9.182322041992183,45.460702669095554,4957,0.0,13,2115
AGGREGATED,9.184381837787834,45.4614662696341,4958,0.0,19,2116
AGGREGATED,9.187447397017046,45.46151224431818,4959,0.0,11,2117
AGGREGATED,9.190061179515164,45.461125986500484,4960,0.0,34,2118
AGGREGATED,9.193351410618835,45.461552938065374,4961,0.0,19,2119
AGGREGATED,9.195776774054275,45.461651201685896,4962,0.0,19,2120
AGGREGATED,9.199684861938486,45.46192053503424,4963,0.0,8,2121
AGGREGATED,9.2024731533203,45.46190870513564,4964,0.0,17,2122
AGGREGATED,9.205550590670077,45.46163315301985,4965,0.0,13,2123
AGGREGATED,9.207883740164615,45.461586039411294,4966,0.0,14,2124
AGGREGATED,9.211611408203126,45.46167435668949,4967,0.0,8,2125
AGGREGATED,9.214381714409722,45.4619450625,4968,0.0,9,2126
AGGREGATED,9.217107181030276,45.461655026001,4969,0.0,16,2127
AGGREGATED,9.220224205566401,45.46193607112633,4970,0.0,6,2128
AGGREGATED,9.224075173270084,45.461545101144,4971,0.0,14,2129
AGGREGATED,9.225855866102423,45.46194487261288,4972,0.0,9,2130
AGGREGATED,9.229881214952243,45.46187998253045,4973,0.0,9,2131
AGGREGATED,9.232454258611519,45.46178644025218,4974,0.0,11,2132
AGGREGATED,9.2354300266927,45.46143109375,4975,0.0,6,2133
AGGREGATED,9.237771754150401,45.4613116953125,4976,0.0,8,2134
AGGREGATED,9.241010365513386,45.46149173214285,4977,0.0,7,2135
AGGREGATED,9.245166744791666,45.46073909049468,4978,0.0,3,2136
LTE,9.246098,45.461863,4979,0.0,1,2137
AGGREGATED,9.251027482271631,45.46155053680892,4980,0.0,13,2138
AGGREGATED,9.253184145241464,45.461490907137815,4981,0.0,11,2139
AGGREGATED,9.25640172265625,45.461736890625005,4982,0.0,4,2140
AGGREGATED,9.259503595458975,45.4619363566895,4983,0.0,4,2141
AGGREGATED,9.2630571364746,45.461538106689495,4984,0.0,4,2142
AGGREGATED,9.265691333333335,45.461165666666666,4985,0.0,3,2143
AGGREGATED,9.268556747314442,45.46191584448249,4986,0.0,12,2144
AGGREGATED,9.270744323730499,45.462112426758,4987,0.0,4,2145
AGGREGATED,9.274611582519551,45.462077213379,4988,0.0,2,2146
AGGREGATED,9.278006300781254,45.461418114502,4989,0.0,16,2147
AGGREGATED,9.280023111111111,45.46092355555555,4990,0.0,9,2148
AGGREGATED,9.283419,45.460634,4991,0.0,2,2149
LTE,9.287052,45.461254,4992,0.0,1,2150
LTE,9.287052,45.461254,4993,0.171755310868336,1,2150
LTE,9.29512,45.460281,4994,0.24683603365548365,1,2005
LTE,9.29512,45.460281,4995,0.0,1,2005
LTE,9.299331,45.462396,4996,0.15505098491600963,1,2151
LTE,9.300988,45.462112,4997,0.10300624592204757,1,2006
LTE,9.3033599853516,45.462112426758,4998,0.12439586471694486,1,2152
LTE,9.3074798583984,45.460739135742,4999,0.0,1,2076
LTE,9.3074798583984,45.460739135742,5000,0.22505553660444594,1,2076
LTE,9.0204620361328,45.462112426758,5001,0.6300921836752678,1,1935
LTE,9.0204620361328,45.462112426758,5002,0.4106929828556972,1,1935
LTE,9.0204620361328,45.462112426758,5003,0.22413680964485933,1,1935
LTE,9.0204620361328,45.462112426758,5004,0.20425941192710753,1,1935
LTE,9.0204620361328,45.462112426758,5005,0.3783153670730783,1,1935
LTE,9.031856,45.461839,5006,0.38266323503325134,1,2077
LTE,9.031856,45.461839,5007,0.22587579058252397,1,2077
LTE,9.031856,45.461839,5008,0.2559777280970842,1,2077
LTE,9.040921,45.462306,5009,0.36015255984947026,1,2078
LTE,9.040921,45.462306,5010,0.18050328969522358,1,2078
LTE,9.040921,45.462306,5011,0.21300001137925295,1,2078
LTE,9.0438079833984,45.460739135742,5012,0.3645758481657177,1,2079
LTE,9.0438079833984,45.460739135742,5013,0.5098271243724022,1,2079
LTE,9.050642,45.458309,5014,0.6071244443500959,1,1863
LTE,9.062526,45.462124,5015,0.6278400435860535,1,2080
LTE,9.062526,45.462124,5016,0.4080750943453373,1,2080
LTE,9.062526,45.462124,5017,0.2208696782404114,1,2080
LTE,9.0644073486328,45.464859008789,5018,0.1365527656098742,1,2153
LTE,9.0644073486328,45.464859008789,5019,0.22815984661824262,1,2153
LTE,9.0699005126953,45.464859008789,5020,0.1290625419819324,1,2154
LTE,9.073988,45.464172,5021,0.0,1,2155
AGGREGATED,9.076081666666667,45.462933666666665,5022,0.0,3,2156
AGGREGATED,9.078916249999999,45.463457,5023,0.0,4,2157
LTE,9.080086,45.463429,5024,0.1408387809316154,1,2158
LTE,9.084258,45.464485,5025,0.0,1,2159
LTE,9.0863800048828,45.464859008789,5026,0.17433141101743022,1,2160
AGGREGATED,9.091873084472649,45.4639763588865,5027,0.0,2,2161
AGGREGATED,9.094276486653634,45.463600239257666,5028,0.0,3,2162
LTE,9.097137,45.463257,5029,0.0,1,2163
LTE,9.1001129150391,45.463485717773,5030,0.0,1,2164
AGGREGATED,9.103637500000001,45.4636235,5031,0.0,2,2165
LTE,9.104691,45.463486,5032,0.09657246986154713,1,2091
LTE,9.108353,45.464572,5033,0.10931577438813023,1,2166
AGGREGATED,9.113027500000001,45.4638805,5034,0.0,2,2167
AGGREGATED,9.114961412597651,45.4629708588865,5035,0.0,2,2168
